Tip_name,Floral_architecture_code
PAPILIONOIDEAE_Phaseolus_albinervis_Lavin5426_DQ445956,1
PAPILIONOIDEAE_Phaseolus_polystachios_Summers4680_DQ450855,1
PAPILIONOIDEAE_Phaseolus_jaliscanus_Ramirez3730_DQ445979,1
PAPILIONOIDEAE_Phaseolus_maculatus_DelgadoSalinas1033_DQ450857,1
PAPILIONOIDEAE_Phaseolus_juquilensis_INIFAPURG10104_DQ450865,1
PAPILIONOIDEAE_Phaseolus_augusti_Beck22411_DQ445960,1
PAPILIONOIDEAE_Phaseolus_pachyrrhizoides_Sanchez3282_DQ450850,1
PAPILIONOIDEAE_Phaseolus_lunatus_DelgadoSalinasSN_DQ445985,1
PAPILIONOIDEAE_Phaseolus_mollis_Werff17141_DQ445994,1
PAPILIONOIDEAE_Phaseolus_leptostachyus_DelgadoSalinas1574_DQ445983,1
PAPILIONOIDEAE_Phaseolus_micranthus_Franco2446_DQ445992,1
PAPILIONOIDEAE_Phaseolus_macvaughii_DelgadoSalinas1581_DQ450868,1
PAPILIONOIDEAE_Phaseolus_albescens_DelgadoSalinas1705_DQ445955,1
PAPILIONOIDEAE_Phaseolus_coccineus_DelgadoSalinas853_DQ445963,1
PAPILIONOIDEAE_Phaseolus_costaricensis_Debouck2128_DQ445967,1
PAPILIONOIDEAE_Phaseolus_vulgaris_DelgadoSalinas2103_DQ445990,1
PAPILIONOIDEAE_Phaseolus_acutifolius_NativeSeedsPT77_DQ445951,1
PAPILIONOIDEAE_Phaseolus_angustissimus_Ayers1741_JN008264,1
PAPILIONOIDEAE_Phaseolus_filiformis_AgundezSN_DQ445973,1
PAPILIONOIDEAE_Phaseolus_carterae_Leon3751_DQ445961,1
PAPILIONOIDEAE_Phaseolus_gladiolatus_Torres14716_DQ445975,1
PAPILIONOIDEAE_Phaseolus_zimapanensis_ValeraSN_DQ445980,1
PAPILIONOIDEAE_Phaseolus_hintonii_DelgadoSalinas1567_DQ450867,1
PAPILIONOIDEAE_Phaseolus_esquincensis_PapaSN_DQ445971,1
